Date,Price,Open,High,Low,Vol.,Change %,,,,,
"Feb 12, 2020","3,380.50","3,360.50","3,381.50","3,355.50",1.23M,0.69%,,,,,
"Feb 11, 2020","3,357.50","3,351.00","3,374.50","3,349.25",1.49M,0.13%,,,,,
"Feb 10, 2020","3,353.00","3,322.25","3,353.50","3,303.50",1.40M,0.83%,,,,,
"Feb 07, 2020","3,325.50","3,349.00","3,350.00","3,320.75",1.70M,-0.59%,,,,,
"Feb 06, 2020","3,345.25","3,337.00","3,357.75","3,332.50",1.46M,0.31%,,,,,
"Feb 05, 2020","3,335.00","3,300.25","3,338.00","3,288.25",2.05M,1.08%,,,,,
"Feb 04, 2020","3,299.50","3,244.25","3,305.25","3,236.00",1.70M,1.66%,,,,,
"Feb 03, 2020","3,245.50","3,222.75","3,267.25","3,222.00",1.92M,0.67%,,,,,
"Jan 31, 2020","3,224.00","3,292.00","3,297.50","3,212.75",3.15M,-2.00%,,,,,
"Jan 30, 2020","3,289.75","3,271.50","3,295.25","3,239.75",2.42M,0.53%,,,,,
"Jan 29, 2020","3,272.50","3,281.75","3,292.75","3,265.25",1.67M,-0.18%,,,,,
"Jan 28, 2020","3,278.25","3,239.50","3,285.00","3,238.75",1.91M,1.20%,,,,,
"Jan 27, 2020","3,239.50","3,269.75","3,269.75","3,233.00",2.58M,-1.64%,,,,,
"Jan 24, 2020","3,293.50","3,326.50","3,337.00","3,280.50",2.52M,-0.98%,,,,,
"Jan 23, 2020","3,326.00","3,317.25","3,327.00","3,301.25",1.72M,0.19%,,,,,
"Jan 22, 2020","3,319.75","3,321.25","3,337.50","3,315.25",1.51M,0.01%,,,,,
"Jan 21, 2020","3,319.50","3,325.00","3,329.75","3,307.25",1.57M,-0.10%,,,,,
"Jan 20, 2020","3,322.88","3,327.88","3,328.38","3,318.62",-,-0.06%,,,,,
"Jan 17, 2020","3,325.00","3,316.75","3,330.25","3,316.00",1.31M,0.26%,,,,,
"Jan 16, 2020","3,316.50","3,294.25","3,318.00","3,294.00",1.34M,0.69%,,,,,
"Jan 15, 2020","3,293.75","3,287.75","3,299.00","3,277.75",1.47M,0.17%,,,,,
"Jan 14, 2020","3,288.00","3,289.25","3,296.75","3,275.25",1.69M,-0.05%,,,,,
"Jan 13, 2020","3,289.75","3,265.75","3,291.00","3,265.50",1.01M,0.77%,,,,,
"Jan 10, 2020","3,264.75","3,275.50","3,287.00","3,260.75",1.53M,-0.34%,,,,,
"Jan 09, 2020","3,276.00","3,261.25","3,276.75","3,257.75",1.30M,0.48%,,,,,
"Jan 08, 2020","3,260.25","3,231.75","3,267.75","3,181.00",2.28M,0.77%,,,,,
